kabupaten_kota;luas_wilayah;luas_hutan_rakyat;luas_rehabilitasi_hutan_dan_lahan;hutan_lindung;hutan_produksi;periode_update
Pacitan;138992;76628;227.65;265;2216;Tahun 2019
Ponorogo;130570;22275;100;16389;31743;Tahun 2019
Trenggalek;114722;21144;91;17620;44169;Tahun 2019
Tulungagung;105565;18414;30;9081;31738;Tahun 2019
Blitar;133648;53585;201.09;12754;23706;Tahun 2019
Kediri;138605;8170.64;20;8153;13832;Tahun 2019
Malang;353065;32239.39;300.04;41492;45058;Tahun 2019
Lumajang;179090;57098.48;165;12652;23515;Tahun 2019
Jember;309234;26204.29;72.08;45139;29079;Tahun 2019
Banyuwangi;578240;25797;211;57079;56890;Tahun 2019
Bondowoso;152597;26463.5;121.1;30757;28286;Tahun 2019
Situbondo;166987;17677;127;19716;36385;Tahun 2019
Probolinggo;169621;53854.26;185;23176;23434;Tahun 2019
Pasuruan;147402;16244.94;70;6966;14286;Tahun 2019
Sidoarjo;63438;1356.24;0;0;0;Tahun 2019
Mojokerto;71783;3020;8;4254;10812;Tahun 2019
Jombang;111509;11609.67;75;620;22698;Tahun 2019
Nganjuk;122425;8645;35;7554;42324;Tahun 2019
Madiun;103758;15516.81;135;5828;40456;Tahun 2019
Magetan;68884;17075.05;159;3987;3390;Tahun 2019
Ngawi;129598;15402.93;20;2992;42003;Tahun 2019
Bojonegoro;219879;5151.7;167.5;1457;94343;Tahun 2019
Tuban;183415;4090.38;4;336;52986;Tahun 2019
Lamongan;178205;3476.32;83.4;225;31201;Tahun 2019
Gresik;119125;5072.92;7;0;993;Tahun 2019
Bangkalan;100144;19869.18;50;600;3218;Tahun 2019
Sampang;123308;17670;72;0;797;Tahun 2019
Pamekasan;79224;10744.57;86;373;592;Tahun 2019
Sumenep;199854;19421.29;105;11925;29420;Tahun 2019
Kota Kediri;6340;0;0;12;217;Tahun 2019
Kota Blitar;3257;0;0;0;0;Tahun 2019
Kota Malang;14528;0;0;0;0;Tahun 2019
Kota Probolinggo;5667;33.56;0;0;0;Tahun 2019
Kota Pasuruan;3529;18.6;0;0;0;Tahun 2019
Kota Mojokerto;1647;0;0;0;0;Tahun 2019
Kota Madiun;3392;183.4;0;0;0;Tahun 2019
Kota Surabaya;35054;0;0;0;0;Tahun 2019
Kota Batu;13674;53;14.4;3340;2985;Tahun 2019
Pacitan;138992;77727.42;75;265;2216;Tahun 2020
Ponorogo;130570;22357.66;0;16389;31743;Tahun 2020
Trenggalek;114722;21144;60;17620;44169;Tahun 2020
Tulungagung;105565;18414;35;9081;31738;Tahun 2020
Blitar;133648;53585;72;12754;23706;Tahun 2020
Kediri;138605;8170.64;35;8153;13832;Tahun 2020
Malang;353065;32239.39;72;41492;45058;Tahun 2020
Lumajang;179090;59096.48;30;12652;23515;Tahun 2020
Jember;309234;20963.43;15;45139;29079;Tahun 2020
Banyuwangi;578240;25830;40;57079;56890;Tahun 2020
Bondowoso;152597;26463.5;65;30757;28286;Tahun 2020
Situbondo;166987;18664;20;19716;36385;Tahun 2020
Probolinggo;169621;53854.26;20;23176;23434;Tahun 2020
Pasuruan;147402;16244.94;30;6966;14286;Tahun 2020
Sidoarjo;63438;1356.24;0;0;0;Tahun 2020
Mojokerto;71783;3118.37;0;4254;10812;Tahun 2020
Jombang;111509;11572.1;0;620;22698;Tahun 2020
Nganjuk;122425;9425.28;75;7554;42324;Tahun 2020
Madiun;101086;15516.81;15;5828;40456;Tahun 2020
Magetan;68885;17075.05;30;3987;3390;Tahun 2020
Ngawi;129598;15402.93;45;2992;42003;Tahun 2020
Bojonegoro;219879;5151.7;30;1457;94343;Tahun 2020
Tuban;183415;4090.38;0;336;52986;Tahun 2020
Lamongan;178205;3476.32;0;225;31201;Tahun 2020
Gresik;119125;5072.92;0;0;993;Tahun 2020
Bangkalan;100144;19857.12;37;600;3218;Tahun 2020
Sampang;123308;17215;37;0;797;Tahun 2020
Pamekasan;79224;10783.57;37;373;592;Tahun 2020
Sumenep;199854;19227.07;24;11925;29420;Tahun 2020
Kota Kediri;6340;0;0;12;217;Tahun 2020
Kota Blitar;3257;0;0;0;0;Tahun 2020
Kota Malang;14528;0;0;0;0;Tahun 2020
Kota Probolinggo;5667;33.56;0;0;0;Tahun 2020
Kota Pasuruan;3529;18.6;0;0;0;Tahun 2020
Kota Mojokerto;1647;0;0;0;0;Tahun 2020
Kota Madiun;3323;183.4;0;0;0;Tahun 2020
Kota Surabaya;35054;0;0;0;0;Tahun 2020
Kota Batu;13674;0;24;3340;2985;Tahun 2020
Pacitan;138992;77727.42;65;Tahun 2021;;
Ponorogo;130570;22357.66;0;Tahun 2021;;
Trenggalek;114722;21164;150;Tahun 2021;;
Tulungagung;105565;18434;60;Tahun 2021;;
Blitar;133648;53615;30;Tahun 2021;;
Kediri;138605;8170.64;40;Tahun 2021;;
Malang;353065;32259.39;50;Tahun 2021;;
Lumajang;179090;58505.52;50;Tahun 2021;;
Jember;309234;21001.26;50;Tahun 2021;;
Banyuwangi;578240;26825.22;99;Tahun 2021;;
Bondowoso;152597;26544.96;60;Tahun 2021;;
Situbondo;166987;17168.5;0;Tahun 2021;;
Probolinggo;169621;52238.63;430;Tahun 2021;;
Pasuruan;147402;15948.9;50;Tahun 2021;;
Sidoarjo;63438;1356.24;0;Tahun 2021;;
Mojokerto;71783;3118.37;5;Tahun 2021;;
Jombang;111509;11572.1;10;Tahun 2021;;
Nganjuk;122425;9425.28;15;Tahun 2021;;
Madiun;101086;15516.81;15;Tahun 2021;;
Magetan;68885;17075.05;15;Tahun 2021;;
Ngawi;129598;15402.93;0;Tahun 2021;;
Bojonegoro;219879;5151.7;72.5;Tahun 2021;;
Tuban;183415;4090.38;40;Tahun 2021;;
Lamongan;178205;3476.32;0;Tahun 2021;;
Gresik;119125;5072.92;0;Tahun 2021;;
Bangkalan;100144;19882.12;25;Tahun 2021;;
Sampang;123308;17245;19;Tahun 2021;;
Pamekasan;79224;10818.57;53;Tahun 2021;;
Sumenep;199854;19277.07;70;Tahun 2021;;
Kota Kediri;6340;0;0;Tahun 2021;;
Kota Blitar;3257;0;0;Tahun 2021;;
Kota Malang;14528;0;0;Tahun 2021;;
Kota Probolinggo;5667;31.88;0;Tahun 2021;;
Kota Pasuruan;3529;18.36;0;Tahun 2021;;
Kota Mojokerto;1647;0;0;Tahun 2021;;
Kota Madiun;3323;183.4;0;Tahun 2021;;
Kota Surabaya;35054;0;0;Tahun 2021;;
Kota Batu;13674;0;0;Tahun 2021;;
Pacitan;138992;77727.42;36;Tahun 2022;;
Ponorogo;130570;22357.66;24;Tahun 2022;;
Trenggalek;114722;21164;30;Tahun 2022;;
Tulungagung;105565;18434;0;Tahun 2022;;
Blitar;133648;53615;30;Tahun 2022;;
Kediri;138605;8170.64;50;Tahun 2022;;
Malang;353065;32259.39;20;Tahun 2022;;
Lumajang;179090;58505.52;25;Tahun 2022;;
Jember;309234;21001.26;20;Tahun 2022;;
Banyuwangi;578240;26825.22;70;Tahun 2022;;
Bondowoso;152597;26544.96;150;Tahun 2022;;
Situbondo;166987;17168.5;15;Tahun 2022;;
Probolinggo;169621;52238.63;35;Tahun 2022;;
Pasuruan;147402;15948.9;40;Tahun 2022;;
Sidoarjo;63438;1356.24;0;Tahun 2022;;
Mojokerto;71783;3118.37;25;Tahun 2022;;
Jombang;111509;11572.1;75;Tahun 2022;;
Nganjuk;122425;9425.28;110;Tahun 2022;;
Madiun;101086;15516.81;266;Tahun 2022;;
Magetan;68885;17075.05;40;Tahun 2022;;
Ngawi;129598;15402.93;130;Tahun 2022;;
Bojonegoro;219879;5151.7;38;Tahun 2022;;
Tuban;183415;4090.38;25;Tahun 2022;;
Lamongan;178205;3476.32;0;Tahun 2022;;
Gresik;119125;5072.92;0;Tahun 2022;;
Bangkalan;100144;19882.12;25;Tahun 2022;;
Sampang;123308;17245;30;Tahun 2022;;
Pamekasan;79224;10818.57;35;Tahun 2022;;
Sumenep;199854;19277.07;50;Tahun 2022;;
Kota Kediri;6340;0;0;Tahun 2022;;
Kota Blitar;3257;0;0;Tahun 2022;;
Kota Malang;14528;0;0;Tahun 2022;;
Kota Probolinggo;5667;31.88;0;Tahun 2022;;
Kota Pasuruan;3529;18.36;0;Tahun 2022;;
Kota Mojokerto;1647;0;0;Tahun 2022;;
Kota Madiun;3323;183.4;0;Tahun 2022;;
Kota Surabaya;35054;0;0;Tahun 2022;;
Kota Batu;13674;0;0;Tahun 2022;;
